region,location_name,user_name,source,rating,review_text,review_date
Wilayah Bali Utara,Kebun Raya,Agung,Google Maps,5,,2025-06-14T11:04:48.343Z
Wilayah Bali Utara,Kebun Raya,Gede Yudha,Google Maps,5,Area Luas Untuk Berjalan Santai,2025-06-14T09:33:43.197Z
Wilayah Bali Utara,Kebun Raya,Indra Karunia Murti,Google Maps,5,"Sedari kecil selalu seneng ke tempat ini, masih asri dan harapanya selalu asri untuk kedepanya. Satu note untuk pengelola, mungkin jalan bisa lebih diperbaiki karena cukup banyak yang berlubang",2025-06-14T05:36:22.028Z
Wilayah Bali Utara,Kebun Raya,Ayu Altarisa,Google Maps,5,Area Taman Tertata Dengan Baik,2025-06-14T02:27:28.447Z
Wilayah Bali Utara,Kebun Raya,Яна Шолохова,Google Maps,5,"Ini adalah tempat yang indah, dengan lahan yang luas dan terawat dengan baik. Karena lokasinya yang unik, tempat ini tidak terlalu panas.
Tidak peduli berapa banyak orang yang ada, semua orang tampaknya menyebar di sekitar lahan, sehingga sangat damai dan tenang.
Biaya masuk untuk kami berdua adalah 40.000 rubel, ditambah biaya parkir.",2025-06-13T13:33:30.096Z
Wilayah Bali Utara,Kebun Raya,Criths eman Sumba,Google Maps,5,,2025-06-13T09:38:33.405Z
Wilayah Bali Utara,Kebun Raya,Arisna Nana,Google Maps,5,,2025-06-13T08:18:10.261Z
Wilayah Bali Utara,Kebun Raya,Joshuahn Jackstonburg,Google Maps,4,Peaceful and oxygen-rich - but I prefer the real jungly forests all around Bali,2025-06-12T17:36:10.905Z
Wilayah Bali Utara,Kebun Raya,Marcin Maciejewski,Google Maps,5,"This park is wonderful, truly large and spacious, full of interesting species of plants, trees and animals, quiet, and tremendously beautiful. We've been here a couple of times as we live far south of Bali. Our 1.5-year-old puppy loves the park over the moon! It isn't a must-visit for everyone, as many tourists want to see this full-throttle essence of Bali, which this park is not. It is more about nature, peace, calmness, and sweet moments, such as sitting on the grass surrounded by gigantic trees and seeing mountains and a volcanic lake. But if you love parks, forests, views, picturesque spaces, cooler temperatures, fresh air, and long walks, this place is perfect for 2 hours or half a day. Amazing!",2025-06-12T14:06:43.649Z
Wilayah Bali Utara,Kebun Raya,yogi saputra,Google Maps,5,Tempat Cocok Untuk Bersantai,2025-06-12T13:06:53.953Z
Wilayah Bali Utara,Kebun Raya,K,Google Maps,5,,2025-06-12T12:13:27.010Z
Wilayah Bali Utara,Kebun Raya,Basir Moyo,Google Maps,4,Fasilitas Umum Dalam Kondisi Baik,2025-06-12T08:49:14.839Z
Wilayah Bali Utara,Kebun Raya,Ridho Alhutbi,Google Maps,5,Lingkungan Terjaga Kebersihannya,2025-06-12T06:01:13.985Z
Wilayah Bali Utara,Kebun Raya,glodia 88,Google Maps,5,,2025-06-12T02:20:05.965Z
Wilayah Bali Utara,Kebun Raya,Wayan Wiratama,Google Maps,5,,2025-06-11T10:24:42.679Z
Wilayah Bali Utara,Kebun Raya,Febri Lestari,Google Maps,5,Absolutely gorgeous and worth the drive to visit this tropical garden,2025-06-11T06:22:41.917Z
Wilayah Bali Utara,Kebun Raya,Aditya Budi Utomo,Google Maps,5,Suasana Tenang Dan Damai,2025-06-11T03:28:15.025Z
Wilayah Bali Utara,Kebun Raya,In Dra,Google Maps,5,Tiket Masuk Tidak Memberatkan,2025-06-11T02:41:01.710Z
Wilayah Bali Utara,Kebun Raya,Rstu Adtya,Google Maps,4,Sangat luas dan banyak spot foto dan bersantai. Udara sejuk. Namun pengelola buruk. Toilet sangat kurang terawat. Pelayan kurang ramah terutama di tempat penyewaan scooter/sepeda. Kalau lebih dikelola dengan baik dan fasilitas diperhatikan bakal jadi tempat wisata paling recomended di bali,2025-06-10T20:31:59.567Z
Wilayah Bali Utara,Kebun Raya,Subroto Subroto,Google Maps,5,Fasilitas Edukasi Cukup Lengkap,2025-06-10T14:05:47.832Z
Wilayah Bali Utara,Kebun Raya,bebe,Google Maps,5,Tempat Istirahat Mudah Ditemukan,2025-06-10T12:58:33.590Z
Wilayah Bali Utara,Kebun Raya,Megawati Horiroh,Google Maps,5,Suasana Mendukung Relaksasi,2025-06-10T11:19:51.351Z
Wilayah Bali Utara,Kebun Raya,Omer Icha,Google Maps,5,Harga Tiket Relatif Stabil,2025-06-10T00:59:54.205Z
Wilayah Bali Utara,Kebun Raya,agoes boeing,Google Maps,5,Jalur Wisata Mudah Diakses,2025-06-09T22:06:19.134Z
Wilayah Bali Utara,Kebun Raya,Hady Susanto,Google Maps,5,Fasilitas Penunjang Memadai,2025-06-09T21:41:36.796Z
Wilayah Bali Utara,Kebun Raya,Made Dana,Google Maps,5,Taman Memberikan Kesan Asri,2025-06-09T09:41:16.555Z
Wilayah Bali Utara,Kebun Raya,Ade Fernandaputra,Google Maps,5,,2025-06-09T09:37:45.780Z
Wilayah Bali Utara,Kebun Raya,Hendra Oktaviano,Google Maps,5,"Amazing place to visit for picnic, nice weather and epic landscape view.",2025-06-09T05:25:38.485Z
Wilayah Bali Utara,Kebun Raya,Aprilia Rahmawati,Google Maps,5,Suasana Sejuk Sepanjang Hari,2025-06-09T04:13:47.732Z
Wilayah Bali Utara,Kebun Raya,Amir Ibatullin,Google Maps,5,"Stunning views, must visit place",2025-06-09T02:20:39.718Z
Wilayah Bali Utara,Kebun Raya,John Locke,Google Maps,5,Biaya Masuk Layak Untuk Dikunjungi,2025-06-08T16:46:36.426Z
Wilayah Bali Utara,Kebun Raya,ERWIN STIADI,Google Maps,5,Area Foto Menarik Dan Alami,2025-06-08T10:14:11.573Z
Wilayah Bali Utara,Kebun Raya,Amri Rahman,Google Maps,5,Fasilitas Penunjuk Arah Jelas,2025-06-08T09:10:35.836Z
Wilayah Bali Utara,Kebun Raya,Aleksandr Danilevsky,Google Maps,5,Lingkungan Terasa Nyaman,2025-06-08T06:02:04.706Z
Wilayah Bali Utara,Kebun Raya,ANAK AGUNG SAGUNG MAS PRADNYA PRANISWARI,Google Maps,5,Harga Seimbang Dengan Fasilitas,2025-06-08T04:52:45.858Z
Wilayah Bali Utara,Kebun Raya,siti juma,Google Maps,5,Sejuk asri,2025-06-08T03:37:54.616Z
Wilayah Bali Utara,Kebun Raya,Hadiman Syah,Google Maps,3,Pengecekan security nya terlalu berlebihan masak ngecek sampai ke kursi penumpang yg ditengah..kayaknya kurang sopan saya lihat caranya...cukup ceknya dibelakang aja SDH cukup menurut saya,2025-06-07T14:17:59.504Z
Wilayah Bali Utara,Kebun Raya,Padly Robby,Google Maps,5,Keren,2025-06-07T03:55:48.501Z
Wilayah Bali Utara,Kebun Raya,ro ko,Google Maps,5,Beautiful green and clean place with fresh air. Perfect for a walk or to calm down... Even when I've been here often I discover something new every time.,2025-06-07T01:21:38.211Z
Wilayah Bali Utara,Kebun Raya,adiputra sanjaya,Google Maps,5,Are Parkir Cukup Luas,2025-06-07T00:14:57.592Z
Wilayah Bali Utara,Kebun Raya,putubudiana,Google Maps,5,cukup rekomendasi untuk acara keluarga,2025-06-06T08:24:05.322Z
Wilayah Bali Utara,Kebun Raya,Marcel Rueben,Google Maps,5,Area Hijau Sangat Luas,2025-06-06T06:34:18.591Z
Wilayah Bali Utara,Kebun Raya,Prama Werdi,Google Maps,4,Suasana Cocok Untuk Keluarga,2025-06-05T22:45:30.067Z
Wilayah Bali Utara,Kebun Raya,Ninung Ajah,Google Maps,5,Fasilitas Cukup Terawat,2025-06-05T04:46:54.375Z
Wilayah Bali Utara,Kebun Raya,Pancer Sinaga,Google Maps,5,Taman Terlihat Bersih Dan Rapi,2025-06-04T21:48:16.206Z
Wilayah Bali Utara,Kebun Raya,Kang Dexxter,Google Maps,5,Harga Masuk Masuk Akal,2025-06-04T15:26:22.371Z
Wilayah Bali Utara,Kebun Raya,Sri Laksmi,Google Maps,5,Suasana Menenangkan Pikiran,2025-06-04T14:55:08.823Z
Wilayah Bali Utara,Kebun Raya,Andi Irawati Bachtiar Mks,Google Maps,5,Jalur Taman Aman Untuk Pengunjung,2025-06-04T11:08:38.319Z
Wilayah Bali Utara,Kebun Raya,Gianluca Broglio,Google Maps,3,Nothing special,2025-06-04T08:24:40.594Z
Wilayah Bali Utara,Kebun Raya,Karl-Heinz Albrecht,Google Maps,2,"Der Park ist leider total veraltet. Der Kakteengarten ist toll, hergerichtet, der Ficus Baum sehr attraktiv. Der Rest leider sehr sehr veraltet und nicht empfehlenswert.",2025-06-04T05:55:19.583Z
Wilayah Bali Utara,Kebun Raya,Yohan,Google Maps,4,Fasilitas Pendukung Wisata Baik,2025-06-04T05:14:42.022Z
Wilayah Bali Utara,Kebun Raya,Muhammad Ibrahim,Google Maps,5,Udara Pegunungan Sangat Segar,2025-06-04T04:21:54.670Z
Wilayah Bali Utara,Kebun Raya,zippora galuh jaya,Google Maps,3,Harga Tidak Terlalu Mahal,2025-06-03T20:20:36.522Z
Wilayah Bali Utara,Kebun Raya,Nyoman Satriya,Google Maps,1,"tempat nya bagus dan indah
tetapi sepedanya buluk jelek gak layak pakai tolong perbarui sepeda disana apalagi temen saya menabrak orang hingga tangan nya patah.rem sepadanya blong habis itu rodanya geol geol jelek banget dah sepeda nya",2025-06-03T09:41:24.845Z
Wilayah Bali Utara,Kebun Raya,Eka Sudewa,Google Maps,5,Suasana Alami Sangat Terasa,2025-06-03T09:32:37.652Z
Wilayah Bali Utara,Kebun Raya,Nicolas G,Google Maps,5,Endroit paisible,2025-06-02T04:52:10.256Z
Wilayah Bali Utara,Kebun Raya,dita ayu,Google Maps,5,Indah sekali temoatnya,2025-06-02T04:03:20.604Z
Wilayah Bali Utara,Kebun Raya,Sastra,Google Maps,5,Area Istirahat Nyaman,2025-06-01T22:41:02.074Z
Wilayah Bali Utara,Kebun Raya,I am Wisnoe,Google Maps,5,Fasilitas Umum Mudah Digunakan,2025-05-31T13:04:45.354Z
Wilayah Bali Utara,Kebun Raya,IWayan Eka Putra,Google Maps,5,Taman Cocok Untuk Wisata Edukasi,2025-05-31T12:44:13.393Z
Wilayah Bali Utara,Kebun Raya,Agus 333,Google Maps,4,tempat santai udaranya sejuk,2025-05-31T09:39:40.542Z
Wilayah Bali Utara,Kebun Raya,dandung sriyadi,Google Maps,5,Suasana Mendukung Kegiatan Santai,2025-05-31T06:18:56.911Z
Wilayah Bali Utara,Kebun Raya,MadeWisma5758,Google Maps,5,Harga Tiket Cukup Bersahabat,2025-05-31T06:08:29.323Z
Wilayah Bali Utara,Kebun Raya,Julia Ha,Google Maps,5,Area Luas Tidak Terasa Sesak,2025-05-30T17:58:16.723Z
Wilayah Bali Utara,Kebun Raya,I Wayan Oky Suadnyana 23,Google Maps,5,Tempat liburan yang sangt bagus selain pantai di bali,2025-05-30T13:35:04.986Z
Wilayah Bali Utara,Kebun Raya,Tri,Google Maps,5,Fasilitas Taman Terorganisir,2025-05-30T11:06:52.819Z
Wilayah Bali Utara,Kebun Raya,Carlo Surya,Google Maps,5,Lingkungan Hijau Sangat Dominan,2025-05-30T04:55:36.075Z
Wilayah Bali Utara,Kebun Raya,milayuu 13,Google Maps,2,"yg jaga disewa sepedanya gak ramah bangett, didepan customer bilang ""naskleng"" ""cicing"" walaupun lagi ngobrol sama temennya, tpi kesannya gak sopan mana keras banget ngomongnya, dan pas ditanya pun jawabannya ketus bangett anj",2025-05-29T03:25:12.672Z
Wilayah Bali Utara,Kebun Raya,imanuel prasetyo,Google Maps,5,Suasana Menyejukkan Mata,2025-05-29T02:26:43.873Z
Wilayah Bali Utara,Kebun Raya,Indah,Google Maps,5,Harga Tiket Masuk Wajar,2025-05-28T13:07:56.003Z
Wilayah Bali Utara,Kebun Raya,Sagung Ratih,Google Maps,5,Bedugul yang sekarang makin berkembang ya ada satel busnya dan penyewaan sepeda listrik trus yang ngajak anak-anak jangan khawatir kelaperan karena ada stand-stand makanan disana,2025-05-28T10:50:00.578Z
Wilayah Bali Utara,Kebun Raya,Putu Sanitha Jayanti,Google Maps,5,Area Wisata Tertata Rapi,2025-05-28T07:57:59.498Z
Wilayah Bali Utara,Kebun Raya,Dwi Oktaviani,Google Maps,4,"Untuk weekdays tidak diperbolehkan membawa mobil ke dalam Kebun, untuk weekend diperbolehkan membawa mobil ke dalam kebun, untuk weekdays guest dialihkan untuk menggunakan shuttle yg sudah mereka siapkan, dengan sistem berbayar, dan didalam kebun sudah ada tenant makanan jdi tidak perlu bingung mencari makanan saat dikebun.
Untuk kebersihan terjaminn bersih.",2025-05-28T05:36:56.029Z
Wilayah Bali Utara,Kebun Raya,Cerine Khosasi,Google Maps,5,Bagusss,2025-05-27T13:02:42.115Z
Wilayah Bali Utara,Kebun Raya,Arya Andita,Google Maps,5,"Tempat refresing yang menyenangkan, akan lebih indahnya mohon untuk memperbaiki jalan yang rusak.",2025-05-27T11:13:31.935Z
Wilayah Bali Utara,Kebun Raya,evi cho,Google Maps,5,Fasilitas Toilet Terjaga,2025-05-27T02:54:10.892Z
Wilayah Bali Utara,Kebun Raya,sura legawa,Google Maps,3,"Harusnya bukan kompor yng kena biaya tambahan, tp yng bawa speaker nyetelnya kenceng2,, gak smua orang seneng denger suara fals,,
Pengen tenang nyantai ada rombongan bawa speaker kenceng dtng, terpaksa pindah k tempat yng lebih tenang",2025-05-27T01:50:33.850Z
Wilayah Bali Utara,Kebun Raya,Evan Perumal,Google Maps,4,Suasana Mendukung Jalan Santai,2025-05-26T02:04:59.529Z
Wilayah Bali Utara,Kebun Raya,Георгий,Google Maps,3,"Rating 3 bintang mencerminkan ketidakpuasan yang sangat besar terhadap kualitas sepeda—ini benar-benar bencana. Tarif per jamnya 35.000 rubel, namun sama sekali tidak mungkin untuk mendaki gunung, persnelingnya tidak berfungsi, dan saya harus menyeret sepeda selama sekitar satu jam. Harga untuk layanan ini seharusnya -35, artinya Anda harus dibayar untuk menyeret sepeda tua berkarat yang sama tuanya dengan taman ini. Tolong hindari rasa malu ini dan ganti tempat parkir sepeda; yang ada sekarang harus dibuang atau dihancurkan.

Taman itu sendiri sangat bagus dan pemandangannya menakjubkan, terutama pemandangan danau.",2025-05-25T06:44:45.487Z
Wilayah Bali Utara,Kebun Raya,ivan mogilnichenko,Google Maps,5,Самое красивое место что я видел на Бали советую приезжать в 8:00 пораньше и взять электрический байк в аренду внутри на час проехать весь парк на нем и потом ещё пройтись пешком часок байки стоят на 25 мая 2025 года 75к за час :),2025-05-25T02:58:03.823Z
Wilayah Bali Utara,Kebun Raya,Trevor Davies,Google Maps,5,Great place to visit with fantastic gardens and views. Would probably need about 2 days to see everything. Good maps to guide you.,2025-05-24T11:48:51.036Z
Wilayah Bali Utara,Kebun Raya,Cahya Rossiani,Google Maps,5,Harga Sesuai Dengan Luas Area,2025-05-24T04:15:11.789Z
Wilayah Bali Utara,Kebun Raya,Rohimatur Rizqiyah,Google Maps,5,Tempat Cocok Untuk Rekreasi,2025-05-23T15:20:35.738Z
Wilayah Bali Utara,Kebun Raya,Muma Lombok breeze,Google Maps,5,Fasilitas Penunjang Lengkap,2025-05-23T14:51:48.154Z
Wilayah Bali Utara,Kebun Raya,Lagu Bali Kenangan,Google Maps,5,"Sejuk dan nyaman, pemandangan danau yg indah",2025-05-22T23:41:25.862Z
Wilayah Bali Utara,Kebun Raya,Fabulous World,Google Maps,5,Amazing place to get some silence and have a nice walk.The nature there is amazing.Go during the week as the week-end this is packed.,2025-05-22T23:38:20.625Z
Wilayah Bali Utara,Kebun Raya,Boby Tan,Google Maps,5,Lingkungan Terlihat Terawat,2025-05-22T14:01:25.971Z
Wilayah Bali Utara,Kebun Raya,Andre Yoga,Google Maps,5,Suasana Alami Membuat Nyaman,2025-05-22T05:48:49.411Z
Wilayah Bali Utara,Kebun Raya,Pande Adityo,Google Maps,5,Harga Tidak Membebani,2025-05-22T02:32:54.550Z
Wilayah Bali Utara,Kebun Raya,Putu Widianingsih,Google Maps,5,One of the best place lah pokoknya kalau mau picnik santai bareng keluarga cuma pas musim liburan datang pastinya disini rame banget kurang enak bagusan pas low season atau weekday atau weekend yg ndk barengan sama hari libur besar,2025-05-21T16:37:28.353Z
Wilayah Bali Utara,Kebun Raya,made agus saputra,Google Maps,5,Jalur Taman Mudah Dilalui,2025-05-21T16:25:34.827Z
Wilayah Bali Utara,Kebun Raya,R v Maanen,Google Maps,1,"Sebagai turis, kami memiliki harapan yang tinggi, sayangnya. Kebun Raya sangat mengecewakan. Banyak orang yang sedang piknik. Sebagian besar tanaman tampak lusuh dan tidak terawat. Saya pasti tidak akan pergi ke sana lagi.",2025-05-21T12:22:34.596Z
Wilayah Bali Utara,Kebun Raya,Lely Lestari Wijaya,Google Maps,1,"Kebun raya sekarang ini merupakan trap bagi warga lokal yang mau sekedar berlibur dan piknik di sana. Segala barang bawaan anda akan di charge. Saat weekdays mobil tidak boleh masuk dan anda harus naik shuttle seharga 30 ribu per orang yang hanya mengantarkan anda ke satu destinasi dan menjemput anda kembali. Aturan yang paling lucu, jika anda membawa nasi bungkus/nasi kotak anda akan dikenakan charge 10 ribu per bungkus/kotak. Staff manager di sana bilang, kebun raya mencharge barang barang/fasilitas jasa yang mereka jual. Membawa Sepeda dan sepeda listrik pun sekarang di charge. Semua perusahaan memang berhak memiliki aturan masing masing. Tapi aturannya yg diterapkan kebun raya saat ini seperti memeras pengunjung dan hanya ingin keuntungan cepat. Destinasi wisata yang sudah lama sudah bukan untuk masyarakat Bali lagi sekarang.
Lebih baik hindari tempat ini. Aturannya memberatkan dan sungguh di luar nalar",2025-05-21T08:48:06.145Z
Wilayah Bali Utara,Kebun Raya,Salma RHOUT,Google Maps,5,Fasilitas Umum Cukup Baik,2025-05-21T04:39:45.010Z
Wilayah Bali Utara,Kebun Raya,Yoga pratama,Google Maps,5,Taman Memberikan Kesan Sejuk,2025-05-20T12:27:23.253Z
Wilayah Bali Utara,Kebun Raya,Daniela Parisi,Google Maps,5,Beautiful experience,2025-05-20T09:32:04.696Z
Wilayah Bali Utara,Kebun Raya,Maria Ella,Google Maps,5,Recomended buat liburan bersama keluarga ☺,2025-05-20T08:17:13.627Z
Wilayah Bali Utara,Kebun Raya,Ama Iron,Google Maps,5,Suasana Damai Dan Asri,2025-05-20T08:11:16.547Z
Wilayah Bali Utara,Kebun Raya,Made Arnaya Driver,Google Maps,5,Harga Tiket Konsisten,2025-05-20T07:58:25.316Z
Wilayah Bali Utara,Kebun Raya,irma thamrin,Google Maps,5,Area Cocok Untuk Bersantai,2025-05-20T06:50:30.447Z
Wilayah Bali Utara,Kebun Raya,Komang Evic,Google Maps,5,Tempat untuk piknik terbaik dibaliluas dan bisa keliling kebun pake mobil pribadi.agak masuk kedalem hutan untuk cari view danaunya.cm kalau weekend lumayan antre dipintu masuknya.dan cuaca jg kadang bisa hujan tiba2.,2025-05-20T06:18:17.197Z
Wilayah Bali Utara,Kebun Raya,made sudarmana,Google Maps,5,Fasilitas Memenuhi Kebutuhan,2025-05-19T12:51:32.009Z
Wilayah Bali Utara,Kebun Raya,Dewa Darmendra,Google Maps,5,Lingkungan Terjaga Dengan Baik,2025-05-19T09:07:17.610Z
Wilayah Bali Utara,Kebun Raya,Adelia Patra,Google Maps,4,Will be back again,2025-05-19T07:33:00.019Z
Wilayah Bali Utara,Kebun Raya,Ika Ristiana Putri,Google Maps,5,"tempat yang cocok untuk bersantai dg menikmati alam
sekarang untuk tiket masuknya mobil 30.000, dan tiket dewasa 25.500/org
jika ingin kesana mungkin disarankan naik kendaraan roda 4, karena jika dengan kendaraan roda 2 akses jalan lumayan jauh, tetapi disana juga menyediakan sewa sepeda jadi mempermudah akses untuk keliling disana
saran untuk perawatan hutan pinus lebih diperhatikan lagi, dan akses jalan menuju pemandangan danau diperbanyak tanda panah agar tidak kebingungan, karena akses lumayan jauh",2025-05-18T13:11:13.752Z
Wilayah Bali Utara,Kebun Raya,Ari Natha,Google Maps,5,Suasana Cocok Untuk Refreshing,2025-05-18T10:52:51.434Z
Wilayah Bali Utara,Kebun Raya,Uhn Sisk,Google Maps,5,Harga Tiket Masuk Terjangkau,2025-05-18T10:04:25.779Z
Wilayah Bali Utara,Kebun Raya,rolinus sabuna,Google Maps,5,"Tempat nya sejuk,nyaman pokonya keren kalau liburan ke sana. Tiket masuk Rp 25.500 sudah bisa kliling semua tapi karna sdah hampir hujan jadi ngak sempat ke spot foto yang lain",2025-05-18T08:16:16.001Z
Wilayah Bali Utara,Kebun Raya,Doddy Setiawan,Google Maps,4,Area Taman Menarik Dikunjungi,2025-05-17T13:43:00.645Z
Wilayah Bali Utara,Kebun Raya,sutrawan performance,Google Maps,5,Fasilitas Pendukung Cukup Nyaman,2025-05-17T02:22:19.216Z
Wilayah Bali Utara,Kebun Raya,Nadi Effendi,Google Maps,5,Bagus sekali,2025-05-16T22:13:34.836Z
Wilayah Bali Utara,Kebun Raya,tito wibisono,Google Maps,5,apakah rombongan dengan memakai bis besar bisa masuk untuk rute menuju kebun raya dan tersedia kah parkir bisnya..?,2025-05-16T16:07:13.813Z
Wilayah Bali Utara,Kebun Raya,Nengah Dwi julianto,Google Maps,5,Udara Sejuk Sepanjang Kunjungan,2025-05-15T03:15:59.584Z
Wilayah Bali Utara,Kebun Raya,Nisa Ramadhani,Google Maps,5,Enak sejuuk bagus tempatnyaa,2025-05-14T23:50:14.276Z
Wilayah Bali Utara,Kebun Raya,Dmitry Matskevich,Google Maps,5,Harga Seimbang Dengan Pengalaman,2025-05-14T09:31:58.698Z
